1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness_level,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country_x,city,IATA,rank,overall_score,cost_score,internet_score,like_score,temperature_c,temperature_f,feels_like_c,feels_like_f,internet_speed_mbps,monthly_cost_usd,monthly_cost_cents,image_url
296,2,36,1983,1.817074642855817,1.25,2.41,3,1141,527,4,1,3,2,1,1,26,1,1,3,3,1,0,0,3,3,4,4,4.33,Europe,Bulgaria,burgas,BOJ,65,2.92,3.4811428571428573,2.0857142857142854,5,15,59,15,59,24,2829,2829,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/burgas-bulgaria.jpg?1705536223"
196,2,31,1037,3,0.95,0.84,2,665,310,2,2,4,2,2,1.936705670369141,34,1,2,2,3,2,1,0,3,3,4,4,4.07,Europe,Serbia,nis,INI,31,3.02,4.731428571428571,3.7857142857142856,5,21,70,21,70,53,1735,1735,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/nis-serbia.jpg?1709683320"
496,2,18,1342,1,2.33,3.06,2,1436,868,4,3,3,2,3,3,35,3,3,4,3,3,0,1,4,4,4,4,4.26,Europe,Germany,aachen,AAH,50,2.95,3.2,2.257142857142857,5,21,70,21,70,27,3075,3075,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/aachen-germany.jpg?1733356819"
317,2,18,1373,3,0.57,1.18,3,787,428,2,2,3,1,2,3,11,2,1,3,3,2,0,0,4,3,4,4,4.27,Europe,Croatia,rijeka,RJK,33,3.01,4.602285714285714,1.6,5,20,68,20,68,15,1848,1848,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/rijeka-croatia.jpg?1705622435"
188,2,33,1373,3,0.68,1.07,3,798,337,3,2,2,2,2,2.7056740380379645,29,2,3,2,3,2,1,0,3,4,4,4,4.36,Europe,Serbia,novi sad,QND,55,2.94,3.947428571428572,2.178571428571429,5,25,77,25,77,25,2421,2421,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/novi-sad-serbia.jpg?1709769768"
384,2,29,610,2,0.86,1.54,3,760,531,3,2,2,2,2,3,42,2,2,3,3,1,0,1,4,3,4,4,3.88,Europe,Poland,lublin,LUZ,45,2.96,4.156571428571429,2.242857142857143,5,19,66,19,66,26,2238,2238,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/lublin-poland.jpg?1710115364"
273,2,28,915,3,1.16,1.58,3,766,443,3,2,3,3,2,2,51,1,3,3,3,2,0,0,3,3,4,4,4.55,Europe,Romania,timisoara,TSR,14,3.17,4.524571428571429,2.9714285714285715,5,22,72,22,72,39,1916,1916,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/timisoara-romania.jpg?1705881688"
441,2,17,1220,3,1.22,0.89,3,1077,570,4,3,3,2,2,4,43,2,2,4,3,2,0,1,3,3,4,4,4.37,Europe,Portugal,coimbra,CBP,48,2.95,2.482285714285714,2.0357142857142856,5,18,64,18,64,23,3703,3703,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/coimbra-portugal.jpg?1719964876"
239,2,51,1830,2.252309389553348,0.84,1.43,3,936,395,3,1,3,3,1,1,20,2,2,3,3,2,0,0,3,3,4,4,4.33,Europe,Bulgaria,varna,VAR,56,2.94,4.150857142857143,2.0857142857142854,5,15,59,15,59,24,2243,2243,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/varna-bulgaria.jpg?1705449751"
472,2,14,1983,3,1.45,2.52,2,1440,768,4,3,4,3,2,2,30,3,3,3,3,3,0,0,3,4,4,4,4.25,Europe,Estonia,tallinn,TLL,34,3.01,3.3142857142857145,2.6142857142857148,4.285714285714286,9,48,9,48,33,2975,2975,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/tallinn-estonia.jpg?1722038420"
