origin,destination,departure_date,price
INI,LUZ,2025-08-01,200.74
INI,TSR,2025-08-01,215.99
INI,CBP,2025-08-01,215.99
INI,VAR,2025-08-01,217.0
INI,TLL,2025-08-01,291.07
INI,TBS,2025-08-01,342.99
INI,VNO,2025-08-01,317.99
INI,LJU,2025-08-01,220.0
INI,OPO,2025-08-01,385.99
INI,MMI,2025-08-01,385.99
INI,HEL,2025-08-01,276.18
INI,PRG,2025-08-01,240.99
INI,MUC,2025-08-01,328.99
INI,BUD,2025-08-01,194.99
INI,LIS,2025-08-01,183.99
INI,CPH,2025-08-01,217.02
INI,BML,2025-08-01,217.02
AAH,BOJ,2025-08-01,217.02
AAH,INI,2025-08-01,217.02
AAH,RJK,2025-08-01,217.02
AAH,QND,2025-08-01,217.02
AAH,LUZ,2025-08-01,217.02
AAH,TSR,2025-08-01,217.02
AAH,CBP,2025-08-01,217.02
AAH,VAR,2025-08-01,217.02
AAH,TLL,2025-08-01,217.02
AAH,LCJ,2025-08-01,217.02
AAH,TBS,2025-08-01,217.02
AAH,VNO,2025-08-01,217.02
AAH,DBV,2025-08-01,217.02
AAH,LJU,2025-08-01,217.02
AAH,SPU,2025-08-01,217.02
AAH,OPO,2025-08-01,217.02
AAH,MMI,2025-08-01,217.02
AAH,ZAD,2025-08-01,217.02
AAH,HEL,2025-08-01,217.02
AAH,YXU,2025-08-01,217.02
AAH,VLN,2025-08-01,217.02
AAH,PRG,2025-08-01,217.02
AAH,MUC,2025-08-01,217.02
AAH,BUD,2025-08-01,217.02
AAH,LIS,2025-08-01,217.02
AAH,BLA,2025-08-01,217.02
AAH,WMI,2025-08-01,217.02
AAH,POZ,2025-08-01,217.02
AAH,CPH,2025-08-01,217.02
AAH,BML,2025-08-01,217.02
LUZ,INI,2025-08-01,173.0
LUZ,AAH,2025-08-01,173.0
LUZ,TSR,2025-08-01,192.0
LUZ,CBP,2025-08-01,192.0
LUZ,VAR,2025-08-01,156.0
LUZ,TLL,2025-08-01,158.99
LUZ,LCJ,2025-08-01,235.22
LUZ,TBS,2025-08-01,137.0
LUZ,VNO,2025-08-01,149.0
LUZ,DBV,2025-08-01,139.0
LUZ,LJU,2025-08-01,138.5
LUZ,SPU,2025-08-01,206.0
LUZ,OPO,2025-08-01,146.0
LUZ,MMI,2025-08-01,146.0
LUZ,ZAD,2025-08-01,190.0
LUZ,HEL,2025-08-01,112.0
LUZ,YXU,2025-08-01,649.99
LUZ,PRG,2025-08-01,105.9
LUZ,MUC,2025-08-01,94.8
LUZ,BUD,2025-08-01,68.0
LUZ,LIS,2025-08-01,127.0
LUZ,BLA,2025-08-01,480.0
LUZ,POZ,2025-08-01,40.9
LUZ,CPH,2025-08-01,80.0
LUZ,BML,2025-08-01,80.0
TSR,INI,2025-08-01,122.0
TSR,AAH,2025-08-01,122.0
TSR,LUZ,2025-08-01,174.99
TSR,CBP,2025-08-01,174.99
TSR,VAR,2025-08-01,112.99
TSR,TLL,2025-08-01,154.99
TSR,LCJ,2025-08-01,244.02
TSR,TBS,2025-08-01,133.99
TSR,VNO,2025-08-01,124.99
TSR,DBV,2025-08-01,156.1
TSR,LJU,2025-08-01,135.99
TSR,SPU,2025-08-01,165.0
TSR,OPO,2025-08-01,99.99
TSR,MMI,2025-08-01,99.99
TSR,ZAD,2025-08-01,205.0
TSR,HEL,2025-08-01,131.99
TSR,YXU,2025-08-01,602.99
TSR,PRG,2025-08-01,99.99
TSR,MUC,2025-08-01,85.99
TSR,BUD,2025-08-01,78.99
TSR,LIS,2025-08-01,92.99
TSR,BLA,2025-08-01,434.0
TSR,WMI,2025-08-01,159.5
TSR,POZ,2025-08-01,168.99
TSR,CPH,2025-08-01,55.99
TSR,BML,2025-08-01,55.99
CBP,BOJ,2025-08-01,55.99
CBP,INI,2025-08-01,55.99
CBP,AAH,2025-08-01,55.99
CBP,RJK,2025-08-01,55.99
CBP,QND,2025-08-01,55.99
CBP,LUZ,2025-08-01,55.99
CBP,TSR,2025-08-01,55.99
CBP,VAR,2025-08-01,55.99
CBP,TLL,2025-08-01,55.99
CBP,LCJ,2025-08-01,55.99
CBP,TBS,2025-08-01,55.99
CBP,VNO,2025-08-01,55.99
CBP,DBV,2025-08-01,55.99
CBP,LJU,2025-08-01,55.99
CBP,SPU,2025-08-01,55.99
CBP,OPO,2025-08-01,55.99
CBP,MMI,2025-08-01,55.99
CBP,ZAD,2025-08-01,55.99
CBP,HEL,2025-08-01,55.99
CBP,YXU,2025-08-01,55.99
CBP,VLN,2025-08-01,55.99
CBP,PRG,2025-08-01,55.99
CBP,MUC,2025-08-01,55.99
CBP,BUD,2025-08-01,55.99
CBP,LIS,2025-08-01,55.99
CBP,BLA,2025-08-01,55.99
CBP,WMI,2025-08-01,55.99
CBP,POZ,2025-08-01,55.99
CBP,CPH,2025-08-01,55.99
CBP,BML,2025-08-01,55.99
VAR,INI,2025-08-01,180.0
VAR,AAH,2025-08-01,180.0
VAR,LUZ,2025-08-01,238.0
VAR,TSR,2025-08-01,190.99
VAR,CBP,2025-08-01,190.99
VAR,TLL,2025-08-01,186.0
VAR,LCJ,2025-08-01,262.27
VAR,TBS,2025-08-01,207.0
VAR,VNO,2025-08-01,167.9
VAR,DBV,2025-08-01,181.0
VAR,LJU,2025-08-01,119.0
VAR,SPU,2025-08-01,172.0
VAR,OPO,2025-08-01,162.99
VAR,MMI,2025-08-01,162.99
VAR,ZAD,2025-08-01,274.99
VAR,HEL,2025-08-01,153.9
VAR,YXU,2025-08-01,638.99
VAR,PRG,2025-08-01,138.0
VAR,MUC,2025-08-01,135.99
VAR,BUD,2025-08-01,146.0
VAR,LIS,2025-08-01,152.99
VAR,BLA,2025-08-01,565.0
VAR,WMI,2025-08-01,291.57
VAR,POZ,2025-08-01,169.0
VAR,CPH,2025-08-01,136.99
VAR,BML,2025-08-01,136.99
TLL,INI,2025-08-01,201.0
TLL,AAH,2025-08-01,201.0
TLL,LUZ,2025-08-01,143.99
TLL,TSR,2025-08-01,120.97
TLL,CBP,2025-08-01,120.97
TLL,VAR,2025-08-01,199.0
TLL,LCJ,2025-08-01,284.99
TLL,TBS,2025-08-01,158.99
TLL,VNO,2025-08-01,54.48
TLL,DBV,2025-08-01,148.0
TLL,LJU,2025-08-01,108.97
TLL,SPU,2025-08-01,158.0
TLL,OPO,2025-08-01,180.99
TLL,MMI,2025-08-01,180.99
TLL,ZAD,2025-08-01,161.99
TLL,HEL,2025-08-01,84.7
TLL,YXU,2025-08-01,677.0
TLL,PRG,2025-08-01,73.21
TLL,MUC,2025-08-01,94.9
TLL,BUD,2025-08-01,93.0
TLL,LIS,2025-08-01,124.99
TLL,BLA,2025-08-01,457.83
TLL,WMI,2025-08-01,330.71
TLL,POZ,2025-08-01,121.97
TLL,CPH,2025-08-01,63.85
TLL,BML,2025-08-01,63.85
LCJ,TSR,2025-08-01,258.36
LCJ,CBP,2025-08-01,258.36
LCJ,VAR,2025-08-01,217.76
LCJ,TLL,2025-08-01,169.2
LCJ,TBS,2025-08-01,202.07
LCJ,VNO,2025-08-01,245.19
LCJ,LJU,2025-08-01,184.66
LCJ,SPU,2025-08-01,245.17
LCJ,OPO,2025-08-01,170.46
LCJ,MMI,2025-08-01,170.46
LCJ,HEL,2025-08-01,204.89
LCJ,YXU,2025-08-01,766.75
LCJ,PRG,2025-08-01,115.14
LCJ,MUC,2025-08-01,117.26
LCJ,BUD,2025-08-01,192.15
LCJ,LIS,2025-08-01,184.19
LCJ,BLA,2025-08-01,510.89
LCJ,POZ,2025-08-01,194.41
LCJ,CPH,2025-08-01,104.18
LCJ,BML,2025-08-01,104.18
TBS,INI,2025-08-01,97.5
TBS,AAH,2025-08-01,97.5
TBS,LUZ,2025-08-01,149.0
TBS,TSR,2025-08-01,133.18
